date,invocation_rate,hour_of_day_sin,hour_of_day_cos,day_of_week_sin,day_of_week_cos
2021-01-01 00:00:00,1.0,0.0,1.0,-0.9749279121818236,-0.2225209339563146
2021-01-01 00:01:00,4.0,0.0,1.0,-0.9749279121818236,-0.2225209339563146
2021-01-01 00:02:00,1.0,0.0,1.0,-0.9749279121818236,-0.2225209339563146
2021-01-01 00:03:00,2.0,0.0,1.0,-0.9749279121818236,-0.2225209339563146
2021-01-01 00:04:00,1.0,0.0,1.0,-0.9749279121818236,-0.2225209339563146
2021-01-01 00:05:00,1.0,0.0,1.0,-0.9749279121818236,-0.2225209339563146
2021-01-01 00:06:00,0.0,0.0,1.0,-0.9749279121818236,-0.2225209339563146
2021-01-01 00:07:00,2.0,0.0,1.0,-0.9749279121818236,-0.2225209339563146
2021-01-01 00:08:00,0.0,0.0,1.0,-0.9749279121818236,-0.2225209339563146
2021-01-01 00:09:00,1.0,0.0,1.0,-0.9749279121818236,-0.2225209339563146
